web-scraper-order,web-scraper-start-url,category,category-href,title
"1523068175-1883","https://www.zalora.com.my/women/clothing/?from=header","Socks","https://www.zalora.com.my/women/clothing/socks/?from=header",""
"1523068211-2574","https://www.zalora.com.my/women/clothing/?from=header","Knitwear & Cardigans","https://www.zalora.com.my/women/clothing/cardigans/?from=header",""
"1523068243-3165","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068238-3088","https://www.zalora.com.my/women/clothing/?from=header","Pants & Leggings","https://www.zalora.com.my/women/clothing/pants-trousers/?from=header",""
"1523068248-3324","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068206-2506","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068238-3049","https://www.zalora.com.my/women/clothing/?from=header","Pants & Leggings","https://www.zalora.com.my/women/clothing/pants-trousers/?from=header",""
"1523068196-2269","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068206-2446","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068192-2157","https://www.zalora.com.my/women/clothing/?from=header","Beachwear","https://www.zalora.com.my/women/clothing/swimwear/?from=header",""
"1523068215-2695","https://www.zalora.com.my/women/clothing/?from=header","Modern Ethnic Wear","https://www.zalora.com.my/women/clothing/traditional/?from=header",""
"1523068196-2229","https://www.zalora.com.my/women/clothing/?from=header","Jackets & Coats","https://www.zalora.com.my/women/clothing/jackets-and-coats/?from=header",""
"1523068171-1746","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068180-2004","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
"1523068243-3228","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068187-2094","https://www.zalora.com.my/women/clothing/?from=header","Petite","https://www.zalora.com.my/women/clothing/petite/?from=header",""
"1523068248-3256","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068238-3101","https://www.zalora.com.my/women/clothing/?from=header","Pants & Leggings","https://www.zalora.com.my/women/clothing/pants-trousers/?from=header",""
"1523068233-3007","https://www.zalora.com.my/women/clothing/?from=header","Shorts","https://www.zalora.com.my/women/clothing/shorts/?from=header",""
"1523068215-2638","https://www.zalora.com.my/women/clothing/?from=header","Modern Ethnic Wear","https://www.zalora.com.my/women/clothing/traditional/?from=header",""
"1523068201-2328","https://www.zalora.com.my/women/clothing/?from=header","Blazers","https://www.zalora.com.my/women/clothing/blazers/?from=header",""
"1523068180-1984","https://www.zalora.com.my/women/clothing/?from=header","Plus Size","https://www.zalora.com.my/women/clothing/plus-size/?from=header",""
"1523068223-2770","https://www.zalora.com.my/women/clothing/?from=header","Playsuits & Jumpsuits","https://www.zalora.com.my/women/clothing/playsuits-jumpsuits/?from=header",""
"1523068187-2016","https://www.zalora.com.my/women/clothing/?from=header","Petite","https://www.zalora.com.my/women/clothing/petite/?from=header",""
"1523068171-1759","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068206-2490","https://www.zalora.com.my/women/clothing/?from=header","Hoodies & Sweatshirts","https://www.zalora.com.my/women/clothing/sweaters/?from=header",""
"1523068192-2200","https://www.zalora.com.my/women/clothing/?from=header","Beachwear","https://www.zalora.com.my/women/clothing/swimwear/?from=header",""
"1523068243-3216","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068187-2060","https://www.zalora.com.my/women/clothing/?from=header","Petite","https://www.zalora.com.my/women/clothing/petite/?from=header",""
"1523068211-2523","https://www.zalora.com.my/women/clothing/?from=header","Knitwear & Cardigans","https://www.zalora.com.my/women/clothing/cardigans/?from=header",""
"1523068201-2368","https://www.zalora.com.my/women/clothing/?from=header","Blazers","https://www.zalora.com.my/women/clothing/blazers/?from=header",""
"1523068248-3332","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068243-3176","https://www.zalora.com.my/women/clothing/?from=header","Skirts","https://www.zalora.com.my/women/clothing/skirts/?from=header",""
"1523068248-3251","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068248-3328","https://www.zalora.com.my/women/clothing/?from=header","Tops","https://www.zalora.com.my/women/clothing/fashion-tops/?from=header",""
"1523068201-2390","https://www.zalora.com.my/women/clothing/?from=header","Blazers","https://www.zalora.com.my/women/clothing/blazers/?from=header",""
"1523068171-1718","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068171-1710","https://www.zalora.com.my/women/clothing/?from=header","Maternity","https://www.zalora.com.my/women/clothing/maternity/?from=header",""
"1523068211-2588","https://www.zalora.com.my/women/clothing/?from=header","Knitwear & Cardigans","https://www.zalora.com.my/women/clothing/cardigans/?from=header",""
